id,query_id,query_group_id,execution_id,brand_in_response,total_sources,sources_with_brand,brand_mention_percentage
953413,179066,4101,13844,1,15,1,6.67
953411,179064,4101,13844,1,16,2,12.50
953410,179063,4101,13844,0,21,1,4.76
953409,179062,4101,13844,1,16,1,6.25
953408,179061,4101,13844,1,24,1,4.17
953407,172067,4101,13844,0,24,1,4.17
953406,172066,4101,13844,0,14,0,0.00
953405,172065,4101,13844,0,17,0,0.00
953404,172064,4101,13844,1,15,1,6.67
953403,172063,4101,13844,1,18,2,11.11
953402,172062,4101,13844,1,18,3,16.67
953401,172061,4101,13844,1,24,1,4.17
953400,172060,4101,13844,1,12,1,8.33
953399,172059,4101,13844,0,17,0,0.00
953398,172058,4101,13844,1,20,1,5.00
953397,172057,4101,13844,1,14,1,7.14
953396,172056,4101,13844,1,13,1,7.69
953395,172055,4101,13844,1,30,0,0.00
953394,172054,4101,13844,1,17,1,5.88
953393,172052,4101,13844,1,16,2,12.50
953392,172051,4101,13844,1,29,2,6.90
953391,172050,4101,13844,1,26,2,7.69
953390,172049,4101,13844,0,18,0,0.00
953389,172048,4101,13844,1,16,1,6.25
953388,172047,4101,13844,1,15,1,6.67
953387,172046,4101,13844,1,16,3,18.75
953386,172045,4101,13844,0,21,0,0.00
953385,172044,4101,13844,1,13,1,7.69
953384,172043,4101,13844,1,27,1,3.70
952896,156173,3078,13841,0,30,1,3.33
952895,156172,3078,13841,0,41,10,24.39
952894,156171,3078,13841,0,21,2,9.52
952893,156170,3078,13841,0,19,5,26.32
952892,156169,3078,13841,0,20,3,15.00
952891,156168,3078,13841,0,19,0,0.00
952890,143558,3078,13841,0,20,4,20.00
952889,143557,3078,13841,0,39,6,15.38
952888,143556,3078,13841,0,37,2,5.41
952887,143555,3078,13841,0,31,7,22.58
952886,143553,3078,13841,1,46,16,34.78
952885,143552,3078,13841,1,36,15,41.67
952884,143551,3078,13841,1,36,16,44.44
952883,143549,3078,13841,0,34,5,14.71
952882,143548,3078,13841,0,19,3,15.79
952881,143547,3078,13841,1,44,10,22.73
952880,143546,3078,13841,1,30,6,20.00
952879,143545,3078,13841,0,35,4,11.43
952878,143544,3078,13841,1,24,4,16.67
952877,143543,3078,13841,0,10,1,10.00
952876,143542,3078,13841,1,33,10,30.30
952875,143541,3078,13841,0,28,10,35.71
952874,143540,3078,13841,0,41,16,39.02
952873,143539,3078,13841,1,32,3,9.38
952872,143538,3078,13841,0,18,4,22.22
952871,143537,3078,13841,0,43,9,20.93
952870,143536,3078,13841,0,51,9,17.65
952869,143534,3078,13841,1,18,1,5.56
952868,143533,3078,13841,0,31,1,3.23
952867,143532,3078,13841,1,23,6,26.09
952866,143531,3078,13841,0,19,2,10.53
952865,143530,3078,13841,0,24,0,0.00
952864,143529,3078,13841,0,22,1,4.55
952863,143528,3078,13841,0,23,3,13.04
952862,143527,3078,13841,1,47,18,38.30
952861,143526,3078,13841,0,32,3,9.38
952860,143525,3078,13841,0,26,1,3.85
952859,143524,3078,13841,0,42,7,16.67
952858,143523,3078,13841,0,26,6,23.08
952857,143522,3078,13841,1,43,16,37.21
952856,143521,3078,13841,0,20,4,20.00
952855,143520,3078,13841,1,48,17,35.42
952854,143519,3078,13841,1,33,7,21.21
952853,143518,3078,13841,0,20,3,15.00
952852,143517,3078,13841,0,42,9,21.43
952851,143516,3078,13841,0,42,3,7.14
952850,143515,3078,13841,1,29,10,34.48
952849,143514,3078,13841,0,31,7,22.58
952848,143513,3078,13841,0,45,3,6.67
952847,143512,3078,13841,0,23,1,4.35
952846,143511,3078,13841,0,39,5,12.82
952845,143510,3078,13841,0,36,7,19.44
952844,143509,3078,13841,0,18,0,0.00
952843,143508,3078,13841,0,29,3,10.34
952842,143507,3078,13841,0,33,4,12.12
952841,143506,3078,13841,0,21,5,23.81
952840,143505,3078,13841,0,30,1,3.33
952839,143504,3078,13841,0,29,0,0.00
952838,143503,3078,13841,0,14,1,7.14
952837,143502,3078,13841,0,29,1,3.45
952836,143501,3078,13841,0,41,7,17.07
952835,143500,3078,13841,0,20,5,25.00
952834,143499,3078,13841,0,19,4,21.05
952833,143498,3078,13841,0,45,4,8.89
952832,143497,3078,13841,0,20,4,20.00
952831,143496,3078,13841,0,34,2,5.88
952830,143495,3078,13841,0,27,2,7.41
952829,143494,3078,13841,1,36,6,16.67
952828,143493,3078,13841,0,19,3,15.79
952827,143492,3078,13841,0,26,1,3.85
952826,143491,3078,13841,0,36,9,25.00
952825,143225,3078,13841,0,46,17,36.96
952824,143204,3078,13841,1,14,5,35.71
952823,143203,3078,13841,0,37,1,2.70
952822,143202,3078,13841,0,38,8,21.05
952821,143201,3078,13841,1,43,8,18.60
952820,143200,3078,13841,1,36,14,38.89
952819,143199,3078,13841,0,36,13,36.11
952818,143198,3078,13841,1,33,15,45.45
952817,141304,3078,13841,0,40,0,0.00
952816,141303,3078,13841,0,48,5,10.42
952815,141302,3078,13841,0,20,2,10.00
952814,141301,3078,13841,0,46,13,28.26
952813,141300,3078,13841,0,47,9,19.15
952812,141299,3078,13841,0,18,7,38.89
952811,141297,3078,13841,1,45,12,26.67
952810,141296,3078,13841,0,44,7,15.91
952809,141294,3078,13841,0,27,1,3.70
952807,141292,3078,13841,0,48,14,29.17
952806,141291,3078,13841,0,20,3,15.00
952805,141290,3078,13841,0,18,7,38.89
952804,141289,3078,13841,0,32,8,25.00
952803,141288,3078,13841,0,46,18,39.13
952802,141287,3078,13841,0,29,12,41.38
952801,141286,3078,13841,0,47,14,29.79
952800,141285,3078,13841,0,45,13,28.89
952799,141284,3078,13841,0,32,6,18.75
952798,141280,3078,13841,0,28,2,7.14
952797,141278,3078,13841,0,30,3,10.00
952796,141277,3078,13841,1,43,12,27.91
952795,141276,3078,13841,0,32,12,37.50
952794,141275,3078,13841,0,18,5,27.78
952793,141274,3078,13841,1,43,12,27.91
952792,141273,3078,13841,0,43,9,20.93
952791,141268,3078,13841,1,50,16,32.00
952790,141267,3078,13841,1,16,4,25.00
952789,141266,3078,13841,0,32,11,34.38
952788,141265,3078,13841,0,20,6,30.00
952787,141264,3078,13841,0,21,9,42.86
952786,141263,3078,13841,0,45,7,15.56
952785,141262,3078,13841,0,31,7,22.58
952784,141258,3078,13841,0,47,5,10.64
952783,141256,3078,13841,0,28,10,35.71
952782,141255,3078,13841,1,48,7,14.58
952781,141254,3078,13841,0,10,2,20.00
952780,141253,3078,13841,1,40,8,20.00
952779,141252,3078,13841,1,39,6,15.38
952778,141251,3078,13841,0,42,7,16.67
952777,141247,3078,13841,0,39,4,10.26
952776,141246,3078,13841,0,38,14,36.84
952775,141245,3078,13841,0,41,14,34.15
952774,141244,3078,13841,1,46,12,26.09
952773,141243,3078,13841,1,39,19,48.72
952772,141242,3078,13841,0,30,11,36.67
952771,141241,3078,13841,0,42,17,40.48
952770,141240,3078,13841,0,49,15,30.61
952769,141235,3078,13841,1,24,11,45.83
952768,141234,3078,13841,0,45,6,13.33
952767,141233,3078,13841,0,20,3,15.00
952766,138410,3078,13841,0,31,1,3.23
952765,138409,3078,13841,1,29,11,37.93
952764,138408,3078,13841,0,40,18,45.00
952763,138407,3078,13841,0,42,19,45.24
952762,138406,3078,13841,0,20,4,20.00
952761,138403,3078,13841,0,14,7,50.00
952760,138402,3078,13841,1,20,11,55.00
952759,138401,3078,13841,0,50,10,20.00
952758,138400,3078,13841,0,38,8,21.05
952757,138399,3078,13841,0,45,20,44.44
952756,138398,3078,13841,0,11,3,27.27
952755,138397,3078,13841,0,45,16,35.56
952754,138396,3078,13841,0,29,6,20.69
952753,138392,3078,13841,1,30,11,36.67
952752,138391,3078,13841,0,42,16,38.10
952751,138390,3078,13841,1,42,11,26.19
952750,138389,3078,13841,1,51,19,37.25
952749,138388,3078,13841,0,31,12,38.71
952748,138387,3078,13841,0,21,3,14.29
